Variant,Model,RevIN,Loss,HMM,SeqLen,ValMSE,File
Univariate,DLinear,RevIN,MSE,HMM3W60,60,95.66654205322266,Sub_Univariate_DLinear_RevIN_MSE_HMM3W60_Seq60_MSE96.csv
Univariate,DLinear,RevIN,Huber,HMM3W60,60,95.66727447509766,Sub_Univariate_DLinear_RevIN_Huber_HMM3W60_Seq60_MSE96.csv
Univariate,DLinear,RevIN,MAE,NoHMM,15,95.93849182128906,Sub_Univariate_DLinear_RevIN_MAE_NoHMM_Seq15_MSE96.csv
Univariate,DLinear,RevIN,Huber,HMM3W30,30,96.05097198486328,Sub_Univariate_DLinear_RevIN_Huber_HMM3W30_Seq30_MSE96.csv
Univariate,Linear,NoRevIN,MSE,NoHMM,15,96.05218505859375,Sub_Univariate_Linear_NoRevIN_MSE_NoHMM_Seq15_MSE96.csv
Univariate,DLinear,RevIN,MSE,HMM3W30,30,96.0550537109375,Sub_Univariate_DLinear_RevIN_MSE_HMM3W30_Seq30_MSE96.csv
Univariate,Linear,RevIN,Huber,HMM3W60,30,96.16337585449219,Sub_Univariate_Linear_RevIN_Huber_HMM3W60_Seq30_MSE96.csv
Univariate,Linear,RevIN,MSE,HMM3W60,30,96.1634521484375,Sub_Univariate_Linear_RevIN_MSE_HMM3W60_Seq30_MSE96.csv
Univariate,Linear,RevIN,MAE,NoHMM,15,96.24412536621094,Sub_Univariate_Linear_RevIN_MAE_NoHMM_Seq15_MSE96.csv
Univariate,Linear,NoRevIN,Huber,HMM3W60,15,96.6539535522461,Sub_Univariate_Linear_NoRevIN_Huber_HMM3W60_Seq15_MSE97.csv
Multivariate,Linear,RevIN,MAE,NoHMM,15,96.67570495605469,Sub_Multivariate_Linear_RevIN_MAE_NoHMM_Seq15_MSE97.csv
Multivariate,DLinear,RevIN,MAE,HMM3W30,15,96.72331237792969,Sub_Multivariate_DLinear_RevIN_MAE_HMM3W30_Seq15_MSE97.csv
Univariate,Linear,NoRevIN,Huber,NoHMM,15,96.81945037841797,Sub_Univariate_Linear_NoRevIN_Huber_NoHMM_Seq15_MSE97.csv
Univariate,Linear,NoRevIN,Huber,HMM3W30,30,96.85557556152344,Sub_Univariate_Linear_NoRevIN_Huber_HMM3W30_Seq30_MSE97.csv
Univariate,Linear,NoRevIN,MSE,HMM3W30,30,97.0811996459961,Sub_Univariate_Linear_NoRevIN_MSE_HMM3W30_Seq30_MSE97.csv
Univariate,Linear,NoRevIN,MAE,HMM3W30,15,97.1926498413086,Sub_Univariate_Linear_NoRevIN_MAE_HMM3W30_Seq15_MSE97.csv
Univariate,Linear,NoRevIN,Huber,NoHMM,30,97.27348327636719,Sub_Univariate_Linear_NoRevIN_Huber_NoHMM_Seq30_MSE97.csv
Multivariate,DLinear,RevIN,Huber,HMM3W30,60,97.47076416015625,Sub_Multivariate_DLinear_RevIN_Huber_HMM3W30_Seq60_MSE97.csv
Multivariate,DLinear,RevIN,MSE,HMM3W30,60,97.50052642822266,Sub_Multivariate_DLinear_RevIN_MSE_HMM3W30_Seq60_MSE98.csv
Univariate,DLinear,RevIN,MSE,HMM3W30,15,97.62937927246094,Sub_Univariate_DLinear_RevIN_MSE_HMM3W30_Seq15_MSE98.csv
Univariate,DLinear,RevIN,Huber,HMM3W30,15,97.63174438476562,Sub_Univariate_DLinear_RevIN_Huber_HMM3W30_Seq15_MSE98.csv
Univariate,Linear,NoRevIN,MSE,HMM3W60,15,97.7078628540039,Sub_Univariate_Linear_NoRevIN_MSE_HMM3W60_Seq15_MSE98.csv
